Descrição;Placa do Veículo;Última Quilometragem;Quantidade de Baias;Tamanho da baia;Perfil do veículo;Tipo do veículo;Transportadora;Baias Personalizadas
0764;BZR8805;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;BZR9F02;0;28;42;Frota Fixa;;UDC SUZANO NEPOMUCENO;Não
0764;BZX5G35;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;CAF4680;0;12;42;Frota Fixa;;Ambev;Não
aaaaaaaa;CAI0937;0;28;42;Frota Fixa;;Ambev;Não
0764;CAI6688;0;26;42;Freteiro;;Ambev;Não
0764;CAR0001;0;22;42;Freteiro;;Ambev;Não
0764;CAR0002;0;22;42;Freteiro;;Ambev;Não
0764;CAR0004;1;22;42;Freteiro;;Ambev;Não
0764;CAR0005;210698;22;42;Freteiro;;Ambev;Não
0764;CBG5D12;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;CBG7387;0;28;42;Frota Fixa;;UDC SUZANO NEPOMUCENO;Não
0764;CBG9B28;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;CBG9G28;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
Veiculo de teste Ambev Tech;CBR1000;856867;6;42;Frota Fixa;;Fabio Alves da Silveira;Não
0764;CCP3688;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;CCU9H96;0;28;42;Frota Fixa;;Ambev;Não
0764;CDE2274;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;CDM0F16;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;CDP5959;0;28;42;Frota Fixa;;UDC SUZANO NEPOMUCENO;Não
0764;CDP7256;0;6;42;Frota Fixa;;Ambev;Não
0764;CDR1168;0;28;42;Frota Fixa;;Ambev;Não
0764;CDR2274;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;CDR4I57;0;42;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
0764;CDR8229;0;42;42;Frota Fixa;;Ambev;Não
0764;CDT9820;0;28;42;Frota Fixa;;Ambev;Não
0764;CFD4J33;0;28;42;Frota Fixa;;Transportes Imediato Ltda - Embu;Não
